id,species
3312,Cotoneaster horizontalis agg.
920003797,Cotoneaster hsingshangensis
920003798,Cotoneaster hummelii
920007242,Cotoneaster ignotus
800310110,Cotoneaster integrifolius
800310169,Cotoneaster lacteus
920007244,Cotoneaster laetevirens
920002944,Cotoneaster lucidus
920003382,Cotoneaster mairei
920002945,Cotoneaster marginatus
920003386,Cotoneaster microphyllus
80031011,Cotoneaster microphyllus agg.
920002947,Cotoneaster monopyrenus
920002940,Cotoneaster moupinensis
920002946,Cotoneaster mucronatus
920002948,Cotoneaster nanshan
920002949,Cotoneaster nitens
920007246,Cotoneaster nitidus
920003388,Cotoneaster obscurus
920002935,Cotoneaster obtusus
920002950,Cotoneaster pannosus
920002929,Cotoneaster prostratus
920003799,Cotoneaster pseudoambiguus
920002952,Cotoneaster rehderi
920003390,Cotoneaster uva_ursi
800310179,Cotoneaster salicifolius
920003391,Cotoneaster sherriffii
800310020,Cotoneaster simonsii
920007247,Cotoneaster splendens
920002957,Cotoneaster sternianus
920003800,Cotoneaster tengyuehensis
920007245,Cotoneaster thymifolius
920003397,Cotoneaster tomentellus
920007248,Cotoneaster transens
920002959,Cotoneaster villosulus
920003398,Cotoneaster vilmorinianus
920007249,Cotoneaster x suecicus = C. dammeri x C. conspicuus
800310189,Cotoneaster x watereri
920002960,Cotoneaster x watereri = C. frigidus x C. salicifolius
920002961,Cotoneaster zabelii
1690830020,Cotula australis
1690830010,Cotula coronopifolia
920007251,Cotula dioica
920007252,Cotula squalida
720030040,Umbilicus rupestris
920004478,Crambe cordifolia
681030010,Crambe maritima
720010020,Crassula aquatica
920007253,Crassula decumbens
720010049,Crassula helmsii
720010010,Crassula tillaea
9207258,Crataegus coccinea
920007254,Crataegus coccinioides
800340020,Crataegus crus-galli
920007256,Crataegus heterophylla
800340050,Crataegus laevigata
800340140,Crataegus monogyna
920003401,Crataegus monogyna x heterophylla
920007257,Crataegus orientalis
920007259,Crataegus persimilis
920007260,Crataegus submollis
920007261,Crataegus succulenta
1691780220,Crepis biennis
1691780600,Crepis capillaris
1691780510,Crepis foetida
1691780130,Crepis mollis
1691780580,Crepis nicaeensis
1691780430,Crepis praemorsa
1691780680,Crepis setosa
1691780440,Crepis tectorum
1691780660,Crepis vesicaria
1290290010,Crithmum maritimum
920007262,Crocosmia masoniorum
1880110019,Crocosmia paniculata
920002637,Crocosmia pottsii
1880090020,Crocosmia x crocosmiiflora = C. potsii x C. aurea
920003411,Crocus ancyrensis
1880070240,Crocus biflorus
1880070230,Crocus chrysanthus
920003414,Crocus chrysanthus x biflorus
